"PITUFFIK (THULE AB)","AASIAAT /EGEDESMIND","DANMARKSHAVN","ITTOQQORTOORMIIT /S","TASIILAQ /AMMASSALI","PRINS CHRISTIAN SUN"
"042020 PITUFFIK (THULE AB), ~0 km","042200 AASIAAT /EGEDESMIND, ~0 km","043200 DANMARKSHAVN, ~0 km","043390 ITTOQQORTOORMIIT /S, ~0 km","043600 TASIILAQ /AMMASSALI, ~0 km","043900 PRINS CHRISTIAN SUN, ~0 km"
"042050 MITTARFIK QAANAAQ, ~107 km","042280 KITSISSUT (ATTU), ~112 km","043300 DANEBORG, ~279 km","043300 DANEBORG, ~430 km","043610 KULUSUK, ~23 km","042850 ANGISOQ, ~114 km"
"042030 KITSISSUT /CAREY OE, ~111 km","042310 KANGERLUSSUAQ /SDR., ~208 km","043130 HENRIK KROEYER HOLM, ~446 km","043200 DANMARKSHAVN, ~709 km","043820 IKERMIUARSUK, ~463 km","042700 MITTARFIC NARSARSUAQ, ~175 km"
"042080 KITSISSORSUIT /EDDE, ~416 km","042140 NUUSSUAATAA /NUUSSU, ~232 km","043390 ITTOQQORTOORMIIT /S, ~709 km","043610 KULUSUK, ~834 km","042310 KANGERLUSSUAQ /SDR., ~606 km","042720 QAQORTOQ /JULIANEHA, ~175 km"
"042140 NUUSSUAATAA /NUUSSU, ~786 km","042420 SIORALIK, ~411 km","043010 KAP MORRIS JESUP, ~812 km","043600 TASIILAQ /AMMASSALI, ~847 km","042700 MITTARFIC NARSARSUAQ, ~628 km","043820 IKERMIUARSUK, ~218 km"
"043010 KAP MORRIS JESUP, ~1011 km","042500 NUUK (GODTHAAB), ~508 km","042080 KITSISSORSUIT /EDDE, ~1120 km","043130 HENRIK KROEYER HOLM, ~1155 km","043900 PRINS CHRISTIAN SUN, ~679 km","042660 NUNARSUIT, ~301 km"
"042200 AASIAAT /EGEDESMIND, ~1015 km","042080 KITSISSORSUIT /EDDE, ~620 km","042050 MITTARFIK QAANAAQ, ~1225 km","042140 NUUSSUAATAA /NUUSSU, ~1198 km","042500 NUUK (GODTHAAB), ~686 km","042600 PAAMIUT /FREDERIKSH, ~414 km"
"042280 KITSISSUT (ATTU), ~1092 km","042530 UKIIVIK /FREDERIKSH, ~693 km","042020 PITUFFIK (THULE AB), ~1253 km","042200 AASIAAT /EGEDESMIND, ~1206 km","042720 QAQORTOQ /JULIANEHA, ~689 km","042530 UKIIVIK /FREDERIKSH, ~479 km"
"042310 KANGERLUSSUAQ /SDR., ~1223 km","043600 TASIILAQ /AMMASSALI, ~742 km","042140 NUUSSUAATAA /NUUSSU, ~1283 km","042310 KANGERLUSSUAQ /SDR., ~1212 km","042420 SIORALIK, ~697 km","042500 NUUK (GODTHAAB), ~640 km"
"043130 HENRIK KROEYER HOLM, ~1240 km","042600 PAAMIUT /FREDERIKSH, ~759 km","042030 KITSISSUT /CAREY OE, ~1347 km","042080 KITSISSORSUIT /EDDE, ~1260 km","042530 UKIIVIK /FREDERIKSH, ~708 km","043600 TASIILAQ /AMMASSALI, ~679 km"
