"75.W_SIC.M0","75.W_SIC.M1","75.W_SIC.M2","75.W_SST.M0","75.W_SST.M1","75.W_SST.M2","300.W_SIC.M0","300.W_SIC.M1","300.W_SIC.M2","300.W_SST.M0","300.W_SST.M1","300.W_SST.M2","DATE"
0.0015,NA,NA,1.7911,NA,NA,8e-04,NA,NA,4.6832,NA,NA,1981-09-01
0.0024,0.0015,NA,1.8794,1.7911,NA,0.0015,8e-04,NA,4.7925,4.6832,NA,1981-09-02
0.0087,0.0024,0.0015,1.8319,1.8794,1.7911,0.0019,0.0015,8e-04,4.8141,4.7925,4.6832,1981-09-03
0.0146,0.0087,0.0024,1.7706,1.8319,1.8794,0.0023,0.0019,0.0015,4.8171,4.8141,4.7925,1981-09-04
0.0078,0.0146,0.0087,1.5549,1.7706,1.8319,0.0015,0.0023,0.0019,4.6498,4.8171,4.8141,1981-09-05
0.0136,0.0078,0.0146,1.4527,1.5549,1.7706,0.0018,0.0015,0.0023,4.5646,4.6498,4.8171,1981-09-06
0.0165,0.0136,0.0078,1.7622,1.4527,1.5549,0.0023,0.0018,0.0015,4.5026,4.5646,4.6498,1981-09-07
0.0192,0.0165,0.0136,1.7153,1.7622,1.4527,0.0026,0.0023,0.0018,4.5025,4.5026,4.5646,1981-09-08
0.0136,0.0192,0.0165,1.5496,1.7153,1.7622,0.0023,0.0026,0.0023,4.4017,4.5025,4.5026,1981-09-09
0.0063,0.0136,0.0192,1.629,1.5496,1.7153,0.0018,0.0023,0.0026,4.4226,4.4017,4.5025,1981-09-10
0.0041,0.0063,0.0136,1.7076,1.629,1.5496,0.0022,0.0018,0.0023,4.4336,4.4226,4.4017,1981-09-11
0.0078,0.0041,0.0063,1.7564,1.7076,1.629,0.0036,0.0022,0.0018,4.3261,4.4336,4.4226,1981-09-12
0.0156,0.0078,0.0041,1.7108,1.7564,1.7076,0.0053,0.0036,0.0022,4.3533,4.3261,4.4336,1981-09-13
0.0109,0.0156,0.0078,1.7506,1.7108,1.7564,0.0043,0.0053,0.0036,4.3571,4.3533,4.3261,1981-09-14
0.0149,0.0109,0.0156,1.7999,1.7506,1.7108,0.0056,0.0043,0.0053,4.3863,4.3571,4.3533,1981-09-15
0.0171,0.0149,0.0109,1.928,1.7999,1.7506,0.0068,0.0056,0.0043,3.8801,4.3863,4.3571,1981-09-16
0.0124,0.0171,0.0149,1.961,1.928,1.7999,0.0049,0.0068,0.0056,3.8156,3.8801,4.3863,1981-09-17
0.0185,0.0124,0.0171,0.5909,1.961,1.928,0.006,0.0049,0.0068,3.6467,3.8156,3.8801,1981-09-18
0.0176,0.0185,0.0124,0.0539,0.5909,1.961,0.0046,0.006,0.0049,3.5548,3.6467,3.8156,1981-09-19
0.011,0.0176,0.0185,0.5732,0.0539,0.5909,0.0033,0.0046,0.006,3.7783,3.5548,3.6467,1981-09-20
0.0115,0.011,0.0176,0.6494,0.5732,0.0539,0.003,0.0033,0.0046,3.7538,3.7783,3.5548,1981-09-21
0.0112,0.0115,0.011,0.727,0.6494,0.5732,0.0024,0.003,0.0033,3.825,3.7538,3.7783,1981-09-22
0.0061,0.0112,0.0115,0.8966,0.727,0.6494,0.0015,0.0024,0.003,3.9678,3.825,3.7538,1981-09-23
0.0108,0.0061,0.0112,0.9014,0.8966,0.727,0.0021,0.0015,0.0024,3.9789,3.9678,3.825,1981-09-24
0,0.0108,0.0061,1.0707,0.9014,0.8966,0,0.0021,0.0015,4.0244,3.9789,3.9678,1981-09-25
0,0,0.0108,0.9849,1.0707,0.9014,2e-04,0,0.0021,3.856,4.0244,3.9789,1981-09-26
0,0,0,1.3048,0.9849,1.0707,2e-04,2e-04,0,3.5539,3.856,4.0244,1981-09-27
0,0,0,1.7204,1.3048,0.9849,2e-04,2e-04,2e-04,3.6579,3.5539,3.856,1981-09-28
0,0,0,1.6104,1.7204,1.3048,4e-04,2e-04,2e-04,3.6617,3.6579,3.5539,1981-09-29
5e-04,0,0,1.4193,1.6104,1.7204,4e-04,4e-04,2e-04,3.5848,3.6617,3.6579,1981-09-30
0,5e-04,0,1.251,1.4193,1.6104,2e-04,4e-04,4e-04,3.5895,3.5848,3.6617,1981-10-01
0.0012,0,5e-04,0.7618,1.251,1.4193,4e-04,2e-04,4e-04,3.3324,3.5895,3.5848,1981-10-02
0,0.0012,0,0.9914,0.7618,1.251,1e-04,4e-04,2e-04,3.3421,3.3324,3.5895,1981-10-03
7e-04,0,0.0012,0.9243,0.9914,0.7618,2e-04,1e-04,4e-04,3.0837,3.3421,3.3324,1981-10-04
0.0032,7e-04,0,0.6444,0.9243,0.9914,8e-04,2e-04,1e-04,3.1182,3.0837,3.3421,1981-10-05
0.0015,0.0032,7e-04,0.5523,0.6444,0.9243,3e-04,8e-04,2e-04,2.9836,3.1182,3.0837,1981-10-06
2e-04,0.0015,0.0032,0.5591,0.5523,0.6444,3e-04,3e-04,8e-04,2.6619,2.9836,3.1182,1981-10-07
0,2e-04,0.0015,0.7373,0.5591,0.5523,5e-04,3e-04,3e-04,2.7177,2.6619,2.9836,1981-10-08
0,0,2e-04,0.7825,0.7373,0.5591,0.0026,5e-04,3e-04,2.6829,2.7177,2.6619,1981-10-09
0,0,0,0.7289,0.7825,0.7373,0.0045,0.0026,5e-04,2.5616,2.6829,2.7177,1981-10-10
0.0054,0,0,0.6965,0.7289,0.7825,0.0074,0.0045,0.0026,2.4042,2.5616,2.6829,1981-10-11
0,0.0054,0,0.7664,0.6965,0.7289,0.0093,0.0074,0.0045,2.3861,2.4042,2.5616,1981-10-12
0.0078,0,0.0054,0.8127,0.7664,0.6965,0.0098,0.0093,0.0074,2.4727,2.3861,2.4042,1981-10-13
0.0173,0.0078,0,0.8607,0.8127,0.7664,0.0133,0.0098,0.0093,2.4507,2.4727,2.3861,1981-10-14
0.009,0.0173,0.0078,0.9117,0.8607,0.8127,0.0146,0.0133,0.0098,2.4174,2.4507,2.4727,1981-10-15
0.0178,0.009,0.0173,0.963,0.9117,0.8607,0.0171,0.0146,0.0133,2.3335,2.4174,2.4507,1981-10-16
0.0137,0.0178,0.009,0.9177,0.963,0.9117,0.014,0.0171,0.0146,2.5434,2.3335,2.4174,1981-10-17
0.0054,0.0137,0.0178,0.5611,0.9177,0.963,0.0122,0.014,0.0171,2.7274,2.5434,2.3335,1981-10-18
0.0063,0.0054,0.0137,0.4862,0.5611,0.9177,0.0117,0.0122,0.014,2.7073,2.7274,2.5434,1981-10-19
0.0061,0.0063,0.0054,0.4958,0.4862,0.5611,0.0132,0.0117,0.0122,2.7077,2.7073,2.7274,1981-10-20
0.0029,0.0061,0.0063,0.5597,0.4958,0.4862,0.0125,0.0132,0.0117,2.1386,2.7077,2.7073,1981-10-21
0.0063,0.0029,0.0061,0.641,0.5597,0.4958,0.0127,0.0125,0.0132,2.076,2.1386,2.7077,1981-10-22
0.0051,0.0063,0.0029,0.2403,0.641,0.5597,0.0141,0.0127,0.0125,2.0528,2.076,2.1386,1981-10-23
0.0049,0.0051,0.0063,0.309,0.2403,0.641,0.0151,0.0141,0.0127,1.9211,2.0528,2.076,1981-10-24
0.0027,0.0049,0.0051,0.2013,0.309,0.2403,0.0208,0.0151,0.0141,1.97,1.9211,2.0528,1981-10-25
0.0053,0.0027,0.0049,0.1294,0.2013,0.309,0.0278,0.0208,0.0151,2.1162,1.97,1.9211,1981-10-26
0.0061,0.0053,0.0027,-0.2648,0.1294,0.2013,0.0332,0.0278,0.0208,2.1473,2.1162,1.97,1981-10-27
