 1982-Feb-10 16:45,*,r,21 37 00.74,-14 13 00.9, 21 31 43.6819
 1982-Feb-10 16:51,*,t,21 37 01.72,-14 12 56.0, 21 37 44.6675
 1982-Feb-10 16:57,C,s,21 37 02.70,-14 12 51.1, 21 43 45.6532
 1982-Feb-11 15:59,*,r,21 40 49.83,-13 53 56.2, 20 49 32.6711
 1982-Feb-11 16:51,*,t,21 40 58.33,-13 53 13.3, 21 41 41.2130
 1982-Feb-11 17:43,C,s,21 41 06.83,-13 52 30.3, 22 33 49.7549
 1982-Feb-12 15:37,*,r,21 44 42.13,-13 34 18.6, 20 31 25.6027
 1982-Feb-12 16:51,*,t,21 44 54.19,-13 33 16.8, 21 45 37.7585
 1982-Feb-12 18:04,C,s,21 45 06.08,-13 32 15.7, 22 58 49.7501
 1982-Feb-13 15:20,*,r,21 48 34.53,-13 14 23.7, 20 18 19.3566
 1982-Feb-13 16:51,*,t,21 48 49.32,-13 13 06.9, 21 49 34.3051
 1982-Feb-13 18:21,C,s,21 49 03.93,-13 11 50.8, 23 19 49.0893
 1982-Feb-14 15:06,*,r,21 52 26.71,-12 54 13.6, 20 08 13.6050
 1982-Feb-14 16:51,*,t,21 52 43.72,-12 52 44.1, 21 53 30.8534
 1982-Feb-14 18:36,C,s,21 53 00.72,-12 51 14.3, 23 38 48.1018
 1982-Feb-15 14:53,*,r,21 56 18.35,-12 33 50.3, 19 59 08.0198
 1982-Feb-15 16:51,*,t,21 56 37.40,-12 32 08.7, 21 57 27.4039
 1982-Feb-15 18:48,C,s,21 56 56.29,-12 30 27.7, 23 54 46.6237
 1982-Feb-16 14:41,*,r,22 00 09.46,-12 13 14.1, 19 51 02.6010
 1982-Feb-16 16:51,*,t,22 00 30.39,-12 11 21.1, 22 01 23.9565
 1982-Feb-16 19:00,C,s,22 00 51.15,-12 09 28.7, 00 10 45.1478
 1982-Feb-17 14:30,*,r,22 04 00.05,-11 52 25.5, 19 43 57.3481
 1982-Feb-17 16:51,*,t,22 04 22.69,-11 50 21.8, 22 05 20.5108
 1982-Feb-17 19:11,C,s,22 04 45.16,-11 48 18.7, 00 25 43.5092
 1982-Feb-18 14:20,*,r,22 07 50.14,-11 31 24.9, 19 37 52.2608
 1982-Feb-18 16:50,*,t,22 08 14.15,-11 29 12.1, 22 08 16.9020
 1982-Feb-18 19:21,C,s,22 08 38.31,-11 26 58.1, 00 39 41.7075
 1982-Feb-19 14:10,*,r,22 11 39.57,-11 10 13.4, 19 31 47.1739
 1982-Feb-19 16:50,*,t,22 12 05.11,-11 07 50.5, 22 12 13.4578
 1982-Feb-19 19:31,C,s,22 12 30.80,-11 05 26.5, 00 53 39.9061
 1982-Feb-20 14:00,*,r,22 15 28.35,-10 48 51.5, 19 25 42.0865
 1982-Feb-20 16:50,*,t,22 15 55.41,-10 46 18.5, 22 16 10.0131
 1982-Feb-20 19:40,C,s,22 16 22.46,-10 43 45.2, 01 06 37.9397
 1982-Feb-21 13:51,*,r,22 19 16.66,-10 27 18.7, 19 20 37.1621
 1982-Feb-21 16:50,*,t,22 19 45.07,-10 24 36.4, 22 20 06.5669
 1982-Feb-21 19:49,C,s,22 20 13.48,-10 21 53.8, 01 19 35.9718
 1982-Feb-22 13:43,*,r,22 23 04.50,-10 05 35.4, 19 16 32.3998
 1982-Feb-22 16:50,*,t,22 23 34.11,-10 02 44.6, 22 24 03.1185
 1982-Feb-22 19:58,C,s,22 24 03.86,-09 59 52.6, 01 32 34.0014
 1982-Feb-23 13:34,*,r,22 26 51.58,-09 43 43.8, 19 11 27.4705
 1982-Feb-23 16:50,*,t,22 27 22.53,-09 40 43.6, 22 27 59.6672
 1982-Feb-23 20:06,C,s,22 27 53.46,-09 37 43.0, 01 44 31.8639
 1982-Feb-24 13:26,*,r,22 30 38.21,-09 21 42.6, 19 07 22.7028
 1982-Feb-24 16:50,*,t,22 31 10.34,-09 18 33.8, 22 31 56.2133
 1982-Feb-24 20:14,C,s,22 31 42.46,-09 15 24.6, 01 56 29.7238
 1982-Feb-25 13:17,*,r,22 34 24.10,-08 59 33.9, 19 02 17.7686
 1982-Feb-25 16:50,*,t,22 34 57.56,-08 56 15.6, 22 35 52.7573
 1982-Feb-25 20:22,C,s,22 35 30.85,-08 52 57.7, 02 08 27.5818
 1982-Feb-26 13:09,*,r,22 38 09.58,-08 37 16.3, 18 58 12.9977
 1982-Feb-26 16:49,*,t,22 38 44.05,-08 33 50.3, 22 38 49.1363
 1982-Feb-26 20:30,C,s,22 39 18.67,-08 30 22.9, 02 20 25.4391
 1982-Feb-27 13:02,*,r,22 41 54.64,-08 14 50.3, 18 55 08.3915
 1982-Feb-27 16:49,*,t,22 42 30.13,-08 11 16.5, 22 42 45.6802
 1982-Feb-27 20:37,C,s,22 43 05.76,-08 07 41.4, 02 31 23.1331
 1982-Feb-28 12:54,*,r,22 45 39.01,-07 52 18.1, 18 51 03.6230
 1982-Feb-28 16:49,*,t,22 46 15.66,-07 48 35.6, 22 46 42.2262
 1982-Feb-28 20:45,C,s,22 46 52.45,-07 44 51.8, 02 43 20.9938
 1982-Mar-01 12:46,*,r,22 49 22.84,-07 29 39.1, 18 46 58.8576
 1982-Mar-01 16:49,*,t,22 50 00.65,-07 25 48.0, 22 50 38.7756
 1982-Mar-01 20:52,C,s,22 50 38.44,-07 21 56.5, 02 54 18.6936
 1982-Mar-02 12:39,*,r,22 53 06.31,-07 06 53.0, 18 43 54.2599
 1982-Mar-02 16:49,*,t,22 53 45.12,-07 02 54.1, 22 54 35.3283
 1982-Mar-02 20:59,C,s,22 54 23.92,-06 58 54.9, 03 05 16.3968
 1982-Mar-03 12:31,*,r,22 56 49.13,-06 44 01.8, 18 39 49.5010
 1982-Mar-03 16:49,*,t,22 57 29.09,-06 39 54.4, 22 58 31.8840
 1982-Mar-03 21:06,C,s,22 58 08.89,-06 35 47.4, 03 16 14.1028
 1982-Mar-04 12:24,*,r,23 00 31.62,-06 21 04.3, 18 36 44.9081
 1982-Mar-04 16:48,*,t,23 01 12.43,-06 16 50.0, 23 01 28.2770
 1982-Mar-04 21:13,C,s,23 01 53.38,-06 12 34.4, 03 27 11.8101
 1982-Mar-05 12:17,*,r,23 04 13.64,-05 58 01.6, 18 33 40.3154
 1982-Mar-05 16:48,*,t,23 04 55.45,-05 53 39.7, 23 05 24.8340
 1982-Mar-05 21:20,C,s,23 05 37.40,-05 49 16.4, 03 38 09.5168
