 1982-Feb-11 13:10,*,r,21 40 22.08,-13 56 15.7, 21 20 24.8996
 1982-Feb-11 13:30,*,t,21 40 25.35,-13 55 59.2, 21 40 28.1850
 1982-Feb-11 13:51,C,s,21 40 28.78,-13 55 41.9, 22 01 31.6346
 1982-Feb-12 12:34,*,r,21 44 12.19,-13 36 51.3, 20 48 15.5317
 1982-Feb-12 13:30,*,t,21 44 21.31,-13 36 04.6, 21 44 24.7307
 1982-Feb-12 14:27,C,s,21 44 30.60,-13 35 17.0, 22 41 34.0940
 1982-Feb-13 12:13,*,r,21 48 04.03,-13 17 01.5, 20 31 08.6287
 1982-Feb-13 13:30,*,t,21 48 16.54,-13 15 56.6, 21 48 21.2775
 1982-Feb-13 14:48,C,s,21 48 29.22,-13 14 50.7, 23 06 34.0905
 1982-Feb-14 11:57,*,r,21 51 55.97,-12 56 54.7, 20 19 02.5488
 1982-Feb-14 13:30,*,t,21 52 11.04,-12 55 35.5, 21 52 17.8259
 1982-Feb-14 15:04,C,s,21 52 26.27,-12 54 15.3, 23 26 33.2673
 1982-Feb-15 11:42,*,r,21 55 47.38,-12 36 34.7, 20 07 56.6351
 1982-Feb-15 13:30,*,t,21 56 04.83,-12 35 01.8, 21 56 14.3765
 1982-Feb-15 15:18,C,s,21 56 22.27,-12 33 28.8, 23 44 32.1178
 1982-Feb-16 11:29,*,r,21 59 38.42,-12 16 01.0, 19 58 51.0521
 1982-Feb-16 13:30,*,t,21 59 57.91,-12 14 16.0, 22 00 10.9291
 1982-Feb-16 15:31,C,s,22 00 17.40,-12 12 30.7, 00 01 30.8062
 1982-Feb-17 11:18,*,r,22 03 29.11,-11 55 14.0, 19 51 45.7994
 1982-Feb-17 13:30,*,t,22 03 50.31,-11 53 18.3, 22 04 07.4836
 1982-Feb-17 15:43,C,s,22 04 11.66,-11 51 21.5, 00 17 29.3321
 1982-Feb-18 11:07,*,r,22 07 19.12,-11 34 15.7, 19 44 40.5480
 1982-Feb-18 13:30,*,t,22 07 42.02,-11 32 09.2, 22 08 04.0393
 1982-Feb-18 15:54,C,s,22 08 05.07,-11 30 01.6, 00 32 27.6949
 1982-Feb-19 10:56,*,r,22 11 08.48,-11 13 06.5, 19 37 35.2972
 1982-Feb-19 13:30,*,t,22 11 33.07,-11 10 49.2, 22 12 00.5956
 1982-Feb-19 16:04,C,s,22 11 57.65,-11 08 31.6, 00 46 25.8940
 1982-Feb-20 10:46,*,r,22 14 57.35,-10 51 46.0, 19 31 30.2105
 1982-Feb-20 13:30,*,t,22 15 23.46,-10 49 18.6, 22 15 57.1515
 1982-Feb-20 16:14,C,s,22 15 49.57,-10 46 50.9, 01 00 24.0925
 1982-Feb-21 10:37,*,r,22 18 45.74,-10 30 14.5, 19 26 25.2868
 1982-Feb-21 13:30,*,t,22 19 13.21,-10 27 37.9, 22 19 53.7062
 1982-Feb-21 16:23,C,s,22 19 40.68,-10 25 00.8, 01 13 22.1254
 1982-Feb-22 10:27,*,r,22 22 33.35,-10 08 34.4, 19 20 20.1970
 1982-Feb-22 13:30,*,t,22 23 02.33,-10 05 47.4, 22 23 50.2587
 1982-Feb-22 16:32,C,s,22 23 31.15,-10 03 01.0, 01 26 20.1561
 1982-Feb-23 10:19,*,r,22 26 20.67,-09 46 43.1, 19 16 15.4331
 1982-Feb-23 13:30,*,t,22 26 50.84,-09 43 47.6, 22 27 46.8086
 1982-Feb-23 16:41,C,s,22 27 21.00,-09 40 51.8, 01 39 18.1842
 1982-Feb-24 10:10,*,r,22 30 07.22,-09 24 43.9, 19 11 10.5022
 1982-Feb-24 13:29,*,t,22 30 38.58,-09 21 39.9, 22 30 43.1916
 1982-Feb-24 16:49,C,s,22 31 10.08,-09 18 34.6, 01 51 16.0452
 1982-Feb-25 10:01,*,r,22 33 53.19,-09 02 36.4, 19 06 05.5692
 1982-Feb-25 13:29,*,t,22 34 25.88,-08 59 22.8, 22 34 39.7367
 1982-Feb-25 16:58,C,s,22 34 58.72,-08 56 08.0, 02 04 14.0685
 1982-Feb-26 09:53,*,r,22 37 38.75,-08 40 19.9, 19 02 00.7991
 1982-Feb-26 13:29,*,t,22 38 12.61,-08 36 57.7, 22 38 36.2807
 1982-Feb-26 17:05,C,s,22 38 46.45,-08 33 35.2, 02 15 11.7623
 1982-Feb-27 09:45,*,r,22 41 23.73,-08 17 55.8, 18 57 56.0293
 1982-Feb-27 13:29,*,t,22 41 58.76,-08 14 25.0, 22 42 32.8252
 1982-Feb-27 17:13,C,s,22 42 33.78,-08 10 53.8, 02 27 09.6211
 1982-Feb-28 09:37,*,r,22 45 08.17,-07 55 24.5, 18 53 51.2611
 1982-Feb-28 13:29,*,t,22 45 44.37,-07 51 45.1, 22 46 29.3716
 1982-Feb-28 17:21,C,s,22 46 20.55,-07 48 05.2, 02 39 07.4821
 1982-Mar-01 09:29,*,r,22 48 52.08,-07 32 46.5, 18 49 46.4959
 1982-Mar-01 13:29,*,t,22 49 29.43,-07 28 58.4, 22 50 25.9210
 1982-Mar-01 17:28,C,s,22 50 06.62,-07 25 10.8, 02 50 05.1820
 1982-Mar-02 09:22,*,r,22 52 35.62,-07 10 01.1, 18 46 41.8983
 1982-Mar-02 13:28,*,t,22 53 13.82,-07 06 06.3, 22 53 22.3096
 1982-Mar-02 17:36,C,s,22 53 52.32,-07 02 09.1, 03 02 03.0496
 1982-Mar-03 09:14,*,r,22 56 18.50,-06 47 10.8, 18 42 37.1394
 1982-Mar-03 13:28,*,t,22 56 57.86,-06 43 07.3, 22 57 18.8654
 1982-Mar-03 17:43,C,s,22 57 37.36,-06 39 02.4, 03 13 00.7557
 1982-Mar-04 09:07,*,r,23 00 01.05,-06 24 14.0, 18 39 32.5468
 1982-Mar-04 13:28,*,t,23 00 41.41,-06 20 02.8, 23 01 15.4229
 1982-Mar-04 17:50,C,s,23 01 21.91,-06 15 50.2, 03 23 58.4633
