 1982-Jan-19 13:28,*,r,20 06 16.16,-20 16 42.5, 19 54 39.1467
 1982-Jan-19 13:39,*,t,20 06 18.10,-20 16 36.7, 20 05 40.9537
 1982-Jan-19 13:51,C,s,20 06 20.21,-20 16 30.4, 20 17 42.9250
 1982-Jan-20 13:02,*,r,20 10 25.98,-20 04 02.2, 19 32 31.4318
 1982-Jan-20 13:40,*,t,20 10 32.65,-20 03 41.5, 20 10 37.6743
 1982-Jan-20 14:17,C,s,20 10 39.14,-20 03 21.2, 20 47 43.7525
 1982-Jan-21 12:48,*,r,20 14 37.19,-19 50 53.3, 19 22 25.6900
 1982-Jan-21 13:40,*,t,20 14 46.29,-19 50 24.2, 20 14 34.2324
 1982-Jan-21 14:32,C,s,20 14 55.39,-19 49 54.9, 21 06 42.7748
 1982-Jan-22 12:37,*,r,20 18 48.19,-19 37 20.9, 19 15 20.4420
 1982-Jan-22 13:40,*,t,20 18 59.18,-19 36 44.7, 20 18 30.7915
 1982-Jan-22 14:44,C,s,20 19 10.34,-19 36 07.7, 21 22 41.3053
 1982-Jan-23 12:27,*,r,20 22 58.61,-19 23 26.4, 19 09 15.3587
 1982-Jan-23 13:41,*,t,20 23 11.48,-19 22 42.7, 20 23 27.5152
 1982-Jan-23 14:54,C,s,20 23 24.17,-19 21 59.4, 21 36 39.5075
 1982-Jan-24 12:19,*,r,20 27 08.61,-19 09 09.5, 19 05 10.6033
 1982-Jan-24 13:41,*,t,20 27 22.82,-19 08 19.9, 20 27 24.0740
 1982-Jan-24 15:03,C,s,20 27 37.04,-19 07 30.0, 21 49 37.5447
 1982-Jan-25 12:10,*,r,20 31 17.65,-18 54 32.3, 19 00 05.6822
 1982-Jan-25 13:41,*,t,20 31 33.38,-18 53 35.9, 20 31 20.6313
 1982-Jan-25 15:12,C,s,20 31 49.11,-18 52 39.3, 22 02 35.5803
 1982-Jan-26 12:03,*,r,20 35 26.25,-18 39 33.4, 18 57 01.0874
 1982-Jan-26 13:41,*,t,20 35 43.14,-18 38 31.3, 20 35 17.1862
 1982-Jan-26 15:20,C,s,20 36 00.19,-18 37 28.3, 22 14 33.4493
 1982-Jan-27 11:56,*,r,20 39 34.05,-18 24 14.4, 18 53 56.4900
 1982-Jan-27 13:42,*,t,20 39 52.25,-18 23 05.7, 20 40 13.9028
 1982-Jan-27 15:28,C,s,20 40 10.45,-18 21 56.7, 22 26 31.3156
 1982-Jan-28 11:49,*,r,20 43 41.04,-18 08 35.5, 18 50 51.8901
 1982-Jan-28 13:42,*,t,20 44 00.38,-18 07 20.8, 20 44 10.4526
 1982-Jan-28 15:35,C,s,20 44 19.72,-18 06 05.7, 22 37 29.0151
 1982-Jan-29 11:42,*,r,20 47 47.21,-17 52 37.3, 18 47 47.2884
 1982-Jan-29 13:42,*,t,20 48 07.68,-17 51 16.3, 20 48 07.0006
 1982-Jan-29 15:42,C,s,20 48 28.15,-17 49 55.0, 22 48 26.7129
 1982-Jan-30 11:36,*,r,20 51 52.73,-17 36 19.5, 18 45 42.8501
 1982-Jan-30 13:42,*,t,20 52 14.15,-17 34 52.8, 20 52 03.5480
