 1982-Jan-01 11:56,*,r,18 47 53.81,-22 59 15.3, 15 46 33.9382
 1982-Jan-01 14:57,*,t,18 48 26.86,-22 58 37.5, 18 48 03.6712
 1982-Jan-01 17:58,C,s,18 48 59.91,-22 57 58.3, 21 49 33.4042
 1982-Jan-02 11:56,*,r,18 52 18.46,-22 53 58.8, 15 50 30.4878
 1982-Jan-02 14:57,*,t,18 52 51.47,-22 53 17.6, 18 52 00.2207
 1982-Jan-02 17:59,C,s,18 53 24.65,-22 52 34.7, 21 54 30.1178
 1982-Jan-03 11:55,*,r,18 56 42.55,-22 48 15.1, 15 53 26.8727
 1982-Jan-03 14:58,*,t,18 57 15.88,-22 47 30.0, 18 56 56.9342
 1982-Jan-03 18:01,C,s,18 57 49.19,-22 46 43.4, 22 00 26.9957
 1982-Jan-04 11:54,*,r,19 01 06.24,-22 42 04.4, 15 56 23.2586
 1982-Jan-04 14:58,*,t,19 01 39.69,-22 41 15.5, 19 00 53.4847
 1982-Jan-04 18:02,C,s,19 02 13.14,-22 40 25.2, 22 05 23.7107
 1982-Jan-05 11:53,*,r,19 05 29.49,-22 35 26.6, 15 59 19.6472
 1982-Jan-05 14:59,*,t,19 06 03.24,-22 34 33.8, 19 05 50.2022
 1982-Jan-05 18:04,C,s,19 06 36.81,-22 33 39.8, 22 11 20.5930
 1982-Jan-06 11:53,*,r,19 09 52.45,-22 28 21.9, 16 03 16.2038
 1982-Jan-06 14:59,*,t,19 10 26.15,-22 27 25.6, 19 09 46.7593
 1982-Jan-06 18:06,C,s,19 11 00.02,-22 26 27.5, 22 17 17.4792
 1982-Jan-07 11:52,*,r,19 14 14.75,-22 20 50.8, 16 06 12.6000
 1982-Jan-07 15:00,*,t,19 14 48.75,-22 19 50.5, 19 14 43.4845
 1982-Jan-07 18:08,C,s,19 15 22.73,-22 18 48.6, 22 23 14.3691
 1982-Jan-08 11:51,*,r,19 18 36.54,-22 12 53.5, 16 09 08.9990
 1982-Jan-08 15:00,*,t,19 19 10.65,-22 11 49.4, 19 18 40.0480
 1982-Jan-08 18:09,C,s,19 19 44.75,-22 10 43.8, 22 28 11.0971
 1982-Jan-09 11:50,*,r,19 22 57.80,-22 04 30.0, 16 12 05.3989
 1982-Jan-09 15:01,*,t,19 23 32.20,-22 03 21.8, 19 23 36.7764
 1982-Jan-09 18:11,C,s,19 24 06.40,-22 02 12.4, 22 34 07.9896
